Learning rate:0.0005, Threshold:0.02, Note: test
611,0,50000,3204,'0110010000100,0.447466210506012,0.465124387244945,0.412554787159715,0.504345351562681,0.297757103214039,0.473979101811258,0.5,0.49524890251767,0.5,0.493086002273126,0.580531845938657,0.173525481534149,0.585365983988802,
611,1,50000,2193,'0100010010001,0.448803710138678,0.469434438056179,0.413079714872567,0.499964290838037,0.29123323060056,0.48057302651442,0.5,0.499098057187351,0.5,0.4942712147497,0.593856313367724,0.157408469170117,0.559897668009632,
611,2,50000,2099,'0100000110011,0.446403391538474,0.469564187690938,0.401349690667067,0.49857586996573,0.298358870498895,0.475312657095649,0.5,0.496755685269012,0.5,0.499569860920265,0.596261038770692,0.144077555836037,0.592994061401672,
611,3,50000,5728,'1011001100000,0.451633900539447,0.467963975618169,0.418703211795546,0.499584827523961,0.287720699403436,0.474737373145791,0.5,0.499660088026446,0.5,0.495745483288484,0.570587588111972,0.149840579274292,0.589856959720008,
611,4,50000,7020,'1101101101100,0.445353275590193,0.465714038232971,0.407149250528499,0.502266534156699,0.287174498060816,0.478216248321172,0.5,0.497514364823098,0.5,0.495859594589289,0.615032334332706,0.17238247387855,0.562363952059649,
611,5,50000,3223,'0110010010111,0.444379400064222,0.469849848506908,0.397965036401231,0.494664882827018,0.277905666064765,0.47448861428247,0.5,0.498447839527177,0.5,0.494033658813577,0.588608075394953,0.162340623208406,0.581977686872366,
611,6,50000,6341,'1100011000101,0.447186921215014,0.462095670648492,0.415508207378764,0.501236783462389,0.27503693401957,0.47859177730807,0.5,0.502356193861293,0.5,0.491169010282536,0.602874189644403,0.171813215108057,0.564774400095959,
611,7,50000,5141,'1010000010101,0.446376014807432,0.466114568117715,0.41307009549251,0.498067734558083,0.291656727938529,0.478538878084535,0.5,0.496961810154992,0.5,0.491624210406711,0.58615935769014,0.171483799189254,0.597450946432821,
611,8,50000,97,'0000001100001,0.444628220197522,0.464052422616466,0.411594510731983,0.499612032273487,0.28839673545694,0.477087152529363,0.5,0.49836324308156,0.5,0.492949305804185,0.564562936813686,0.162091541102241,0.572981739854007,
611,9,50000,1592,'0011000111000,0.448663934292195,0.46274341518473,0.409794121491709,0.501234884931921,0.283284112190483,0.482901839422084,0.5,0.49941807888598,0.5,0.492761899413691,0.594304295761483,0.175038747076505,0.5512015659783,
